# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.01          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.02          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.03          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.04          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.05          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.06          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.07          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.08          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.09          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1           	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.11          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.12          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.13          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.14          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.15          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.16          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.17          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.18          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.19          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.2           	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.21          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.22          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.23          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.24          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.25          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.26          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.27          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.28          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.29          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.3           	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.31          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.32          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.33          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.34          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.35          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.36          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.37          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.38          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.39          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.4           	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.41          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.42          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.43          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.44          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.45          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.46          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.47          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.48          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.49          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.51          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.52          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.53          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.54          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.55          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.56          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.57          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.58          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.59          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.6           	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.61          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.62          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.63          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.64          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.65          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.66          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.67          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.68          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.69          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.7           	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.71          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
