# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.01          	((2.889215e+01 4.724353e+01 1.319419e-17) (1.775798e+00 -8.658042e-02 -1.284857e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.048770e-17 -1.574132e-17 -1.576164e+00) (1.503202e-17 -4.117598e-17 1.441328e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((9.118809e-01 -7.224016e-01 4.404613e-19) (1.475778e+00 -9.463573e-02 -5.730950e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.144598e-18 2.020642e-18 -2.645534e-01) (5.817132e-19 -8.524961e-19 7.517141e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((7.088273e-01 -1.826600e-01 2.512592e-19) (1.267487e+00 -8.916729e-02 -4.972004e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.283326e-19 -9.637758e-19 -3.872479e-01) (9.731343e-20 -7.374129e-19 1.429697e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((6.146532e-01 5.169027e-02 1.150838e-19) (1.107156e+00 -8.447675e-02 -3.725202e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.747042e-19 -7.626307e-19 -3.609392e-01) (1.259161e-19 -6.895182e-19 -2.365076e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((5.254104e-01 1.433372e-01 2.656197e-20) (9.821009e-01 -7.931589e-02 -2.887039e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.927127e-19 -5.893884e-19 -3.526041e-01) (1.363463e-19 -6.148620e-19 -5.042763e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((4.573116e-01 1.904066e-01 -3.984655e-20) (8.830560e-01 -7.438416e-02 -2.279348e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.921352e-19 -4.768756e-19 -3.484954e-01) (1.382043e-19 -5.498336e-19 -6.804893e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((4.047941e-01 2.169426e-01 -8.857714e-20) (8.035681e-01 -6.993242e-02 -1.826033e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.852322e-19 -3.958967e-19 -3.458849e-01) (1.366213e-19 -4.972457e-19 -7.905816e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((3.635099e-01 2.315136e-01 -1.260989e-19) (7.389914e-01 -6.597836e-02 -1.479281e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.756529e-19 -3.353871e-19 -3.440939e-01) (1.334745e-19 -4.544850e-19 -8.565405e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((3.304071e-01 2.388175e-01 -1.549304e-19) (6.859203e-01 -6.244452e-02 -1.210093e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.656165e-19 -2.888504e-19 -3.427410e-01) (1.297059e-19 -4.194558e-19 -8.939297e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((3.037002e-01 2.420236e-01 -1.768958e-19) (6.417779e-01 -5.932507e-02 -9.974992e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.548116e-19 -2.531285e-19 -3.416845e-01) (1.256664e-19 -3.904077e-19 -9.147145e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
