x,y,z,p
0,0.3,5.55112e-18,1.54925
2.08556e-18,0.3,-1.38778e-18,1.45407
0.003003,0.2997,2.5016e-19,1.45407
0.00600601,0.299399,-1.58135e-18,1.45407
0.00900901,0.299099,-5.62463e-18,1.45407
0.012012,0.298799,-4.85723e-18,1.45407
0.015015,0.298498,-4.85723e-18,1.45407
0.018018,0.298198,-4.85723e-18,1.45407
0.123123,0.287688,6.10972e-18,0.818065
0.126126,0.287387,3.09208e-18,0.818065
0.129129,0.287087,5.27861e-18,0.818065
0.132132,0.286787,5.73042e-18,0.818065
0.135135,0.286486,6.18223e-18,0.818065
0.138138,0.286186,6.9593e-18,0.818065
0.141141,0.285886,4.16334e-18,0.818065
0.144144,0.285586,4.85723e-18,0.818065
0.147147,0.285285,2.08167e-18,0.818065
0.15015,0.284985,2.77556e-18,0.818065
0.153153,0.284685,3.46945e-18,0.818065
0.156156,0.284384,-2.79559e-18,0.71121
0.159159,0.284084,-3.01004e-18,0.71121
0.162162,0.283784,9.3884e-19,0.71121
0.165165,0.283483,-2.05117e-18,0.71121
0.168168,0.283183,-1.57173e-18,0.71121
0.171171,0.282883,-2.82702e-18,0.71121
0.174174,0.282583,-4.0823e-18,0.71121
0.177177,0.282282,-2.08167e-18,0.71121
0.18018,0.281982,-3.46945e-18,0.71121
0.183183,0.281682,-4.85723e-18,0.71121
0.186186,0.281381,-6.245e-18,0.71121
0.189189,0.281081,-4.16334e-18,0.71121
0.192192,0.280781,-5.55112e-18,0.71121
0.195195,0.28048,-6.27366e-18,0.627166
0.198198,0.28018,-7.15752e-18,0.627166
0.201201,0.27988,-7.3475e-18,0.627166
0.204204,0.27958,-6.49664e-18,0.627166
0.207207,0.279279,-9.11523e-18,0.627166
0.21021,0.278979,-1.26012e-17,0.627166
0.213213,0.278679,-1.3485e-17,0.627166
0.216216,0.278378,-1.72963e-17,0.627166
0.219219,0.278078,-1.52656e-17,0.627166
0.222222,0.277778,-1.249e-17,0.627166
0.225225,0.277477,-1.66533e-17,0.627166
0.228228,0.277177,-1.80411e-17,0.627166
0.231231,0.276877,-1.8735e-17,0.627166
0.234234,0.276577,-1.94289e-17,0.627166
0.237237,0.276276,-2.08167e-17,0.627166
0.24024,0.275976,-2.02138e-17,0.548291
0.243243,0.275676,-1.62187e-17,0.548291
0.246246,0.275375,-1.56932e-17,0.548291
0.249249,0.275075,-1.34328e-17,0.548291
0.252252,0.274775,-8.05001e-18,0.548291
0.255255,0.274474,-7.17747e-18,0.548291
0.258258,0.274174,-4.74368e-18,0.548291
0.261261,0.273874,-2.74356e-18,0.548291
0.264264,0.273574,-1.38778e-18,0.548291
0.267267,0.273273,-2.08167e-18,0.548291
0.27027,0.272973,-5.55112e-18,0.548291
0.273273,0.272673,-2.08167e-18,0.548291
