x,y,z,p
3,0,0,0.595776
3,2.44743e-20,1.92645e-18,0.582418
2.997,0.0003003,4.08771e-18,0.582418
2.99399,0.000600601,3.6207e-18,0.582418
2.99099,0.000900901,-9.65208e-19,0.582531
2.98799,0.0012012,-1.00112e-17,0.582531
2.98498,0.0015015,-1.47809e-17,0.582573
2.98198,0.0018018,-1.627e-17,0.582573
2.97898,0.0021021,-2.24335e-17,0.582604
2.97598,0.0024024,-2.53977e-17,0.582604
2.96396,0.0036036,-2.18439e-18,0.582627
2.96096,0.0039039,-5.14015e-18,0.582627
2.95796,0.0042042,-6.91358e-18,0.582627
2.95495,0.0045045,-2.45558e-18,0.582622
2.95195,0.0048048,-6.90931e-18,0.582622
2.94895,0.00510511,-1.77897e-18,0.582609
2.92793,0.00720721,-4.11015e-18,0.582631
2.92492,0.00750751,-5.90102e-18,0.582631
2.92192,0.00780781,-1.6096e-17,0.582662
2.91892,0.00810811,-1.6234e-17,0.582662
2.91592,0.00840841,-1.55176e-17,0.582662
2.88288,0.0117117,-4.19559e-19,0.582888
2.87988,0.012012,-2.43532e-18,0.582888
2.87688,0.0123123,-2.14086e-18,0.582888
2.87387,0.0126126,-3.94149e-18,0.582888
2.87087,0.0129129,-5.23478e-19,0.582935
2.86787,0.0132132,-1.3971e-19,0.582935
2.85586,0.0144144,-1.43361e-18,0.582975
2.85285,0.0147147,-3.43248e-18,0.582975
2.84985,0.015015,-4.82911e-18,0.582975
2.84685,0.0153153,-1.01065e-17,0.583038
2.84384,0.0156156,-8.3898e-18,0.583038
2.84084,0.0159159,-8.93939e-18,0.583038
2.83784,0.0162162,-4.75801e-18,0.583038
2.83483,0.0165165,1.24845e-18,0.583164
2.81381,0.0186186,-1.58049e-19,0.583292
2.81081,0.0189189,-3.99076e-18,0.583406
2.80781,0.0192192,-3.47632e-18,0.583406
2.8048,0.0195195,-1.48737e-18,0.583406
2.75976,0.024024,5.00006e-18,0.583545
2.75676,0.0243243,6.67708e-18,0.583545
2.75375,0.0246246,5.79538e-18,0.583545
2.75075,0.0249249,6.69784e-18,0.583605
2.74775,0.0252252,7.73255e-18,0.583605
2.74474,0.0255255,1.10224e-17,0.583605
2.74174,0.0258258,9.62695e-18,0.583605
2.73874,0.0261261,6.68405e-18,0.583605
2.73574,0.0264264,2.3275e-18,0.583718
2.73273,0.0267267,6.81196e-18,0.583718
2.72973,0.027027,5.22489e-18,0.583718
2.6967,0.0303303,-1.10186e-17,0.58402
2.69369,0.0306306,-7.78563e-18,0.58402
2.69069,0.0309309,-8.28435e-18,0.58402
2.68769,0.0312312,-8.74181e-18,0.58402
2.68468,0.0315315,-1.0934e-17,0.58402
2.68168,0.0318318,-7.18115e-18,0.584185
2.67868,0.0321321,-6.22078e-18,0.584185
2.67568,0.0324324,-2.31138e-18,0.584185
2.64865,0.0351351,1.91088e-18,0.584375
2.64565,0.0354354,9.99865e-20,0.584375
2.64264,0.0357357,-1.07702e-18,0.584605
2.63964,0.036036,-4.83343e-18,0.584605
2.63664,0.0363363,-4.42651e-18,0.584605
2.61862,0.0381381,1.45419e-18,0.58484
2.61562,0.0384384,-9.30019e-19,0.58484
2.61261,0.0387387,-1.71647e-18,0.58484
2.60961,0.039039,1.47329e-19,0.58484
2.60661,0.0393393,-2.32568e-18,0.58484
2.6036,0.0396396,-2.71703e-18,0.58484
2.6006,0.0399399,-1.24117e-18,0.585082
2.5976,0.0402402,-6.91334e-19,0.585082
2.59459,0.0405405,-3.78441e-18,0.585082
2.59159,0.0408408,2.23711e-18,0.585082
2.58859,0.0411411,2.56124e-19,0.585082
2.58559,0.0414414,1.96143e-18,0.585082
2.58258,0.0417417,3.66673e-18,0.585082
2.52252,0.0477477,-3.57353e-18,0.586162
2.51952,0.048048,-3.3532e-18,0.586162
2.51652,0.0483483,-4.03493e-18,0.586162
2.51351,0.0486486,-2.98194e-18,0.586162
2.51051,0.0489489,-1.92894e-18,0.586162
2.50751,0.0492492,-6.05539e-19,0.586691
2.5045,0.0495495,-2.62545e-18,0.586691
2.5015,0.0498498,-2.65042e-18,0.586691
2.4985,0.0501502,-4.41012e-18,0.586691
2.4955,0.0504505,-2.89411e-18,0.586691
2.49249,0.0507508,-2.13188e-18,0.586691
2.48949,0.0510511,-2.45385e-18,0.586691
2.48649,0.0513514,-1.04109e-18,0.586691
2.48348,0.0516517,-1.36306e-18,0.586691
2.48048,0.051952,-1.44885e-18,0.587303
2.47748,0.0522523,-1.48615e-18,0.587303
2.47447,0.0525526,2.11275e-19,0.587303
2.47147,0.0528529,-1.56075e-18,0.587303
2.46847,0.0531532,-1.43772e-18,0.587303
2.46547,0.0534535,-2.18105e-18,0.587303
2.36637,0.0633634,7.51086e-19,0.589283
2.36336,0.0636637,4.6589e-18,0.589283
2.36036,0.063964,2.84212e-18,0.589283
2.35736,0.0642643,1.00459e-17,0.589283
2.35435,0.0645646,4.75968e-18,0.589283
2.35135,0.0648649,7.81238e-18,0.589283
2.34835,0.0651652,8.93527e-18,0.589283
2.34535,0.0654655,1.14459e-17,0.589283
2.34234,0.0657658,1.36097e-17,0.589283
2.33934,0.0660661,1.75081e-17,0.589283
2.33634,0.0663664,1.84014e-17,0.589567
2.33333,0.0666667,1.49265e-17,0.589567
2.33033,0.066967,1.51812e-17,0.589567
2.32733,0.0672673,1.05788e-17,0.589567
2.32432,0.0675676,1.36091e-17,0.589567
2.32132,0.0678679,1.17822e-17,0.589567
2.31832,0.0681682,1.24227e-17,0.589567
2.31532,0.0684685,1.33822e-17,0.589567
2.31231,0.0687688,1.59031e-17,0.589567
2.30931,0.0690691,1.56483e-17,0.589567
2.30631,0.0693694,1.19241e-17,0.589567
2.3033,0.0696697,1.14844e-17,0.589781
2.3003,0.06997,1.00814e-17,0.589781
2.2973,0.0702703,9.63249e-18,0.589781
2.29429,0.0705706,4.67332e-18,0.589781
2.29129,0.0708709,3.1836e-18,0.589781
2.28829,0.0711712,1.34693e-18,0.589781
2.28529,0.0714715,2.74488e-18,0.589781
2.28228,0.0717718,5.4489e-18,0.589781
2.27928,0.0720721,5.55085e-18,0.589781
2.27628,0.0723724,6.69362e-18,0.589781
2.27327,0.0726727,4.36695e-18,0.589781
2.27027,0.072973,4.5284e-18,0.589945
2.26727,0.0732733,4.78571e-18,0.589945
2.26426,0.0735736,8.14384e-18,0.589945
2.26126,0.0738739,9.07335e-18,0.589945
2.25826,0.0741742,8.61509e-18,0.589945
2.25526,0.0744745,9.5446e-18,0.589945
2.25225,0.0747748,9.56194e-18,0.589945
2.24925,0.0750751,7.8518e-18,0.589945
2.24625,0.0753754,8.13659e-18,0.589945
2.24324,0.0756757,7.55403e-18,0.589945
2.24024,0.075976,8.70618e-18,0.589945
2.23724,0.0762763,9.85833e-18,0.589945
2.23423,0.0765766,1.29252e-17,0.590013
2.23123,0.0768769,1.36722e-17,0.590013
2.22823,0.0771772,1.5807e-17,0.590013
2.22523,0.0774775,1.74214e-17,0.590013
2.22222,0.0777778,1.7648e-17,0.590013
2.21922,0.0780781,1.71807e-17,0.590013
2.16517,0.0834835,3.47571e-19,0.589971
