x,y,z,U_0,U_1,U_2
-2.12161e-19,-3,2.97945e-18,3,2.24806e-16,0
0.0003003,-2.997,5.02512e-18,3,2.33152e-16,0
0.000600601,-2.99399,3.74893e-18,3,2.33152e-16,0
0.000900901,-2.99099,4.53271e-18,3,2.33152e-16,0
0.0012012,-2.98799,3.9849e-18,3,2.33152e-16,0
0.0015015,-2.98498,2.20556e-18,3,2.33152e-16,0
0.0018018,-2.98198,1.94411e-18,3,2.33152e-16,0
0.0021021,-2.97898,5.85041e-19,3,2.33152e-16,0
0.0024024,-2.97598,6.98727e-19,3,2.33152e-16,0
0.0027027,-2.97297,7.68179e-19,3,2.33152e-16,0
0.003003,-2.96997,4.82749e-18,3,2.33152e-16,0
0.0033033,-2.96697,7.4123e-18,3,2.33152e-16,0
0.0036036,-2.96396,7.56848e-18,3,2.33152e-16,0
0.0039039,-2.96096,9.26966e-18,3,2.30972e-16,0
0.0042042,-2.95796,1.18274e-17,3,2.30972e-16,0
0.0045045,-2.95495,1.43688e-17,3,2.30972e-16,0
0.0048048,-2.95195,1.33107e-17,3,2.30972e-16,0
0.00510511,-2.94895,1.32934e-17,3,2.30972e-16,0
0.00540541,-2.94595,1.34455e-17,3,2.30972e-16,0
0.00570571,-2.94294,1.39015e-17,3,2.30972e-16,0
0.00600601,-2.93994,1.26751e-17,3,2.30972e-16,0
0.00630631,-2.93694,1.31559e-17,3,2.30972e-16,0
0.00660661,-2.93393,1.36367e-17,3,2.30972e-16,0
0.00690691,-2.93093,1.4066e-17,3,2.30972e-16,0
0.00720721,-2.92793,1.44698e-17,3,2.30972e-16,0
0.00750751,-2.92492,1.60012e-17,3,2.30972e-16,0
0.00780781,-2.92192,1.75613e-17,3,2.31908e-16,0
0.00810811,-2.91892,1.27735e-17,3,2.31908e-16,0
0.00840841,-2.91592,1.22698e-17,3,2.31908e-16,0
0.00870871,-2.91291,1.34148e-17,3,2.31908e-16,0
0.00900901,-2.90991,1.42128e-17,3,2.31908e-16,0
0.00930931,-2.90691,1.41435e-17,3,2.31908e-16,0
0.00960961,-2.9039,1.44211e-17,3,2.31908e-16,0
0.00990991,-2.9009,7.62626e-18,3,1.89712e-16,0
0.0102102,-2.8979,9.63562e-18,3,1.89712e-16,0
0.0105105,-2.89489,8.17553e-18,3,1.89712e-16,0
0.0108108,-2.89189,6.71545e-18,3,1.89712e-16,0
0.0111111,-2.88889,5.25536e-18,3,1.89712e-16,0
0.0114114,-2.88589,8.69472e-18,3,1.89712e-16,0
0.0117117,-2.88288,8.76702e-18,3,1.89712e-16,0
0.012012,-2.87988,1.16103e-17,3,1.9193e-16,0
0.0123123,-2.87688,1.21008e-17,3,1.9193e-16,0
0.0126126,-2.87387,9.81576e-18,3,1.9193e-16,0
0.0129129,-2.87087,1.10001e-17,3,1.9193e-16,0
0.0132132,-2.86787,8.36815e-18,3,1.9193e-16,0
0.0135135,-2.86486,9.03213e-18,3,1.9193e-16,0
0.0138138,-2.86186,9.11496e-18,3,1.9193e-16,0
0.0141141,-2.85886,9.21613e-18,3,1.9193e-16,0
0.0144144,-2.85586,9.07077e-18,3,1.9193e-16,0
0.0147147,-2.85285,8.10222e-18,3,1.9193e-16,0
0.015015,-2.84985,1.01694e-17,3,1.9193e-16,0
0.0153153,-2.84685,1.05453e-17,3,1.9193e-16,0
0.0156156,-2.84384,9.21356e-18,3,1.9193e-16,0
0.0159159,-2.84084,9.17201e-18,3,1.87182e-16,0
0.0162162,-2.83784,1.11525e-17,3,1.87182e-16,0
0.0165165,-2.83483,1.32197e-17,3,1.87182e-16,0
0.0168168,-2.83183,1.31185e-17,3,1.87182e-16,0
0.0171171,-2.82883,1.14561e-17,3,1.87182e-16,0
0.0174174,-2.82583,1.17076e-17,3,1.87182e-16,0
0.0177177,-2.82282,9.72347e-18,3,1.87182e-16,0
0.018018,-2.81982,1.00919e-17,3,1.87182e-16,0
0.0183183,-2.81682,1.18881e-17,3,1.87182e-16,0
0.0186186,-2.81381,1.13425e-17,3,1.87182e-16,0
0.0189189,-2.81081,1.11438e-17,3,1.87182e-16,0
0.0192192,-2.80781,1.19859e-17,3,1.87182e-16,0
0.0195195,-2.8048,1.44291e-17,3,1.87182e-16,0
0.0198198,-2.8018,1.94995e-17,3,1.87182e-16,0
0.0201201,-2.7988,1.98117e-17,3,1.88449e-16,0
0.0204204,-2.7958,1.6065e-17,3,1.88449e-16,0
0.0207207,-2.79279,1.32903e-17,3,1.88449e-16,0
0.021021,-2.78979,1.4771e-17,3,1.88449e-16,0
0.0213213,-2.78679,1.33027e-17,3,1.88449e-16,0
0.0216216,-2.78378,1.74678e-18,3,4.0541e-17,0
0.0219219,-2.78078,1.11896e-18,3,4.0541e-17,0
0.0222222,-2.77778,-2.28459e-18,3,4.0541e-17,0
0.0225225,-2.77477,-1.66597e-18,3,4.0541e-17,0
0.0228228,-2.77177,1.72822e-18,3,4.0541e-17,0
0.0231231,-2.76877,-1.1226e-18,3,4.0541e-17,0
0.0234234,-2.76577,-5.03973e-19,3,4.0541e-17,0
0.0237237,-2.76276,-4.61606e-19,3,4.0541e-17,0
0.024024,-2.75976,3.07535e-19,3,4.0541e-17,0
0.0243243,-2.75676,-2.08216e-18,3,3.92859e-17,0
0.0246246,-2.75375,-8.84058e-19,3,3.92859e-17,0
0.0249249,-2.75075,3.14045e-19,3,3.92859e-17,0
0.0252252,-2.74775,1.51215e-18,3,3.92859e-17,0
0.0255255,-2.74474,9.75525e-19,3,3.92859e-17,0
0.0258258,-2.74174,2.17363e-18,3,3.92859e-17,0
0.0261261,-2.73874,2.50437e-18,3,3.92859e-17,0
0.0264264,-2.73574,8.40175e-19,3,3.92859e-17,0
0.0267267,-2.73273,1.07154e-18,3,3.92859e-17,0
0.027027,-2.72973,2.03532e-18,3,3.92859e-17,0
0.0273273,-2.72673,2.4967e-18,3,3.92859e-17,0
0.0276276,-2.72372,1.5703e-18,3,3.92859e-17,0
0.0279279,-2.72072,4.80724e-18,3,3.92859e-17,0
0.0282282,-2.71772,3.88084e-18,3,3.92859e-17,0
0.0285285,-2.71471,6.42389e-18,3,3.92859e-17,0
0.0288288,-2.71171,4.63403e-18,3,4.26788e-17,0
0.0291291,-2.70871,3.3215e-18,3,4.26788e-17,0
0.0294294,-2.70571,3.0498e-18,3,4.26788e-17,0
0.0297297,-2.7027,1.39032e-18,3,4.26788e-17,0
0.03003,-2.6997,1.92839e-18,3,4.26788e-17,0
0.0303303,-2.6967,2.88283e-18,3,4.26788e-17,0
0.0306306,-2.69369,7.65367e-18,3,4.26788e-17,0
0.0309309,-2.69069,7.22033e-18,3,4.26788e-17,0
0.0312312,-2.68769,8.68382e-18,3,4.26788e-17,0
0.0315315,-2.68468,5.02905e-18,3,4.26788e-17,0
0.0318318,-2.68168,4.32332e-18,3,4.26788e-17,0
0.0321321,-2.67868,1.70938e-18,3,4.26788e-17,0
0.0324324,-2.67568,1.17712e-18,3,4.26788e-17,0
0.0327327,-2.67267,6.30359e-19,3,-2.97017e-17,0
0.033033,-2.66967,3.61132e-18,3,-2.97017e-17,0
0.0333333,-2.66667,5.48006e-18,3,-3.13695e-17,0
0.0336336,-2.66366,3.91123e-18,3,-3.13695e-17,0
0.0339339,-2.66066,4.42406e-18,3,-3.13695e-17,0
0.0342342,-2.65766,5.97773e-18,3,-3.13695e-17,0
0.0345345,-2.65465,5.79667e-18,3,-3.13695e-17,0
0.0348348,-2.65165,6.48298e-18,3,-3.13695e-17,0
0.0351351,-2.64865,7.34275e-18,3,-3.13695e-17,0
0.0354354,-2.64565,7.22675e-18,3,-3.13695e-17,0
0.0357357,-2.64264,8.86755e-18,3,-3.13695e-17,0
0.036036,-2.63964,9.13616e-18,3,-3.13695e-17,0
0.0363363,-2.63664,1.00241e-17,3,-3.13695e-17,0
0.0366366,-2.63363,9.92899e-18,3,-3.13695e-17,0
0.0369369,-2.63063,8.96648e-18,3,-3.13695e-17,0
0.0372372,-2.62763,9.30502e-18,3,-3.13695e-17,0
0.0375375,-2.62462,7.64862e-18,3,-3.13695e-17,0
0.0378378,-2.62162,8.66478e-18,3,-3.41848e-17,0
0.0381381,-2.61862,1.00604e-17,3,-3.41848e-17,0
0.0384384,-2.61562,1.14398e-17,3,-3.41848e-17,0
