x,y,z,p
-3,-7.75975e-19,8.52816e-19,1
-2.997,0.0003003,-4.64766e-19,1
-2.99399,0.000600601,3.74547e-18,1
-2.99099,0.000900901,9.49979e-18,1
-2.98799,0.0012012,1.30949e-17,1
-2.98498,0.0015015,7.78547e-18,1
-2.98198,0.0018018,1.1964e-17,1
-2.97898,0.0021021,1.75793e-17,1
-2.97598,0.0024024,2.12767e-17,1
-2.97297,0.0027027,2.22714e-17,1.00001
-2.96997,0.003003,2.15586e-17,1.00001
-2.96697,0.0033033,2.39486e-17,1.00001
-2.96396,0.0036036,2.72872e-17,1.00003
-2.96096,0.0039039,2.66637e-17,1.00007
-2.95796,0.0042042,1.99394e-17,1.00007
-2.95495,0.0045045,1.92311e-17,1.00014
-2.95195,0.0048048,1.97232e-17,1.00028
-2.94895,0.00510511,2.62263e-17,1.00028
-2.94595,0.00540541,2.42943e-17,1.00052
-2.94294,0.00570571,2.30221e-17,1.00052
-2.93994,0.00600601,2.30403e-17,1.00095
-2.93694,0.00630631,2.17561e-17,1.00168
-2.93393,0.00660661,2.17299e-17,1.00168
-2.93093,0.00690691,1.66543e-17,1.00292
-2.92793,0.00720721,2.08771e-17,1.00292
-2.92492,0.00750751,1.86697e-17,1.00489
-2.92192,0.00780781,1.22966e-17,1.00489
-2.91892,0.00810811,1.22716e-17,1.00805
-2.91592,0.00840841,1.49402e-17,1.00805
-2.91291,0.00870871,2.17604e-17,1.01283
-2.90991,0.00900901,1.97505e-17,1.01283
-2.90691,0.00930931,2.42409e-17,1.01998
-2.9039,0.00960961,2.37983e-17,1.01998
-2.9009,0.00990991,2.00633e-17,1.03103
-2.8979,0.0102102,1.52907e-17,1.03103
-2.89489,0.0105105,1.09652e-17,1.04554
-2.89189,0.0108108,1.0537e-17,1.04554
-2.88889,0.0111111,1.01335e-17,1.06716
-2.88589,0.0114114,1.41372e-17,1.06716
-2.88288,0.0117117,1.16729e-17,1.09593
-2.87988,0.012012,1.03622e-17,1.09593
-2.87688,0.0123123,8.02971e-18,1.13349
-2.87387,0.0126126,8.1936e-18,1.13349
-2.87087,0.0129129,9.74487e-18,1.18414
-2.86787,0.0132132,1.31021e-17,1.18414
-2.86486,0.0135135,1.52764e-17,1.23992
-2.86186,0.0138138,1.64624e-17,1.23992
-2.85886,0.0141141,1.62758e-17,1.23992
-2.85586,0.0144144,1.54719e-17,1.3023
-2.85285,0.0147147,1.60864e-17,1.3023
-2.84985,0.015015,1.00233e-17,1.36787
-2.84685,0.0153153,1.05364e-17,1.36787
-2.84384,0.0156156,1.16941e-17,1.36787
-2.84084,0.0159159,1.17315e-17,1.42709
-2.83784,0.0162162,1.23822e-17,1.42709
-2.83483,0.0165165,1.1362e-17,1.49792
-2.83183,0.0168168,1.05273e-17,1.49792
-2.82883,0.0171171,1.17004e-17,1.49792
-2.82583,0.0174174,1.14167e-17,1.54436
-2.82282,0.0177177,1.12567e-17,1.54436
-2.81982,0.018018,8.19051e-18,1.57669
-2.81682,0.0183183,7.17281e-18,1.57669
-2.81381,0.0186186,1.14616e-17,1.57669
-2.81081,0.0189189,1.12836e-17,1.61801
-2.80781,0.0192192,1.21549e-17,1.61801
-2.8048,0.0195195,1.00346e-17,1.61801
-2.8018,0.0198198,1.16011e-17,1.63854
-2.7988,0.0201201,1.47052e-17,1.63854
-2.7958,0.0204204,1.47763e-17,1.63854
-2.79279,0.0207207,1.35707e-17,1.6479
-2.78979,0.021021,1.43037e-17,1.6479
-2.78679,0.0213213,1.29398e-17,1.64975
-2.78378,0.0216216,1.46858e-17,1.64975
-2.78078,0.0219219,1.5282e-17,1.64975
-2.77778,0.0222222,1.65532e-17,1.65371
-2.77477,0.0225225,1.97231e-17,1.65371
-2.77177,0.0228228,2.15708e-17,1.65371
-2.76877,0.0231231,2.08605e-17,1.65901
-2.76577,0.0234234,2.0229e-17,1.65901
-2.76276,0.0237237,2.08567e-17,1.65901
-2.75976,0.024024,1.90963e-17,1.66502
-2.75676,0.0243243,1.83926e-17,1.66502
-2.75375,0.0246246,2.14693e-17,1.66502
-2.75075,0.0249249,1.97591e-17,1.66502
-2.74775,0.0252252,2.14856e-17,1.67385
-2.74474,0.0255255,2.24202e-17,1.67385
-2.74174,0.0258258,1.92523e-17,1.67385
-2.73874,0.0261261,1.67723e-17,1.67978
-2.73574,0.0264264,1.68769e-17,1.67978
-2.73273,0.0267267,1.79965e-17,1.67978
-2.72973,0.027027,2.05592e-17,1.67878
-2.72673,0.0273273,1.97447e-17,1.67878
-2.72372,0.0276276,2.05046e-17,1.67878
-2.72072,0.0279279,1.8448e-17,1.67784
-2.71772,0.0282282,1.99994e-17,1.67784
-2.71471,0.0285285,2.37869e-17,1.67784
-2.71171,0.0288288,2.10009e-17,1.67784
-2.70871,0.0291291,1.45922e-17,1.67612
-2.70571,0.0294294,1.39893e-17,1.67612
-2.7027,0.0297297,1.43727e-17,1.67612
-2.6997,0.03003,1.3782e-17,1.67082
-2.6967,0.0303303,1.68079e-17,1.67082
-2.69369,0.0306306,1.88454e-17,1.67082
-2.69069,0.0309309,2.13138e-17,1.67082
-2.68769,0.0312312,2.23295e-17,1.66121
-2.68468,0.0315315,2.07584e-17,1.66121
-2.68168,0.0318318,2.08259e-17,1.66121
-2.67868,0.0321321,1.84628e-17,1.66121
-2.67568,0.0324324,1.80833e-17,1.65528
-2.67267,0.0327327,1.84638e-17,1.65528
-2.66967,0.033033,2.03465e-17,1.65528
-2.66667,0.0333333,2.35172e-17,1.65528
-2.66366,0.0336336,2.20554e-17,1.64895
-2.66066,0.0339339,1.95886e-17,1.64895
-2.65766,0.0342342,2.01427e-17,1.64895
-2.65465,0.0345345,1.81227e-17,1.64221
-2.65165,0.0348348,1.50228e-17,1.64221
-2.64865,0.0351351,1.39436e-17,1.64221
-2.64565,0.0354354,1.82774e-17,1.64221
-2.64264,0.0357357,2.69071e-18,1.63704
-2.63964,0.036036,4.08938e-18,1.63704
-2.63664,0.0363363,3.31826e-18,1.63704
-2.63363,0.0366366,2.63617e-18,1.63704
-2.63063,0.0369369,1.34757e-18,1.63468
-2.62763,0.0372372,6.80273e-19,1.63468
-2.62462,0.0375375,1.04297e-18,1.63468
-2.62162,0.0378378,2.3798e-18,1.63468
-2.61862,0.0381381,-1.888e-19,1.63468
-2.61562,0.0384384,-5.79136e-18,1.63172
-2.61261,0.0387387,-2.88713e-18,1.63172
-2.60961,0.039039,-2.47361e-18,1.63172
-2.60661,0.0393393,-3.87128e-18,1.63172
