x,y,z,p
4.24322e-19,0.3,-5.55112e-18,1.84324
0.003003,0.2997,-4.85723e-18,1.84324
0.018018,0.298198,-2.08167e-18,1.2656
0.021021,0.297898,-6.19161e-18,1.14227
0.024024,0.297598,-4.16334e-18,1.14227
0.027027,0.297297,-1.38778e-18,1.03488
0.03003,0.296997,-4.97312e-18,0.935412
0.042042,0.295796,-1.38778e-18,0.761772
0.0600601,0.293994,2.77556e-18,0.50261
0.0630631,0.293694,5.9567e-18,0.456772
0.0660661,0.293393,4.16334e-18,0.456772
0.0690691,0.293093,6.63882e-18,0.419019
0.0720721,0.292793,6.93889e-18,0.419019
0.0750751,0.292492,6.70604e-18,0.377683
0.0810811,0.291892,-9.57448e-19,0.346309
0.0840841,0.291592,4.16334e-18,0.346309
0.0870871,0.291291,4.54845e-18,0.323446
0.0960961,0.29039,-1.48022e-27,0.296931
0.0990991,0.29009,7.15428e-19,0.278319
0.102102,0.28979,-6.245e-18,0.278319
0.117117,0.288288,-6.01088e-19,0.241436
0.12012,0.287988,-6.93889e-19,0.241436
0.123123,0.287688,3.79987e-18,0.241791
0.126126,0.287387,4.85723e-18,0.241791
0.129129,0.287087,1.66079e-18,0.243476
0.132132,0.286787,6.245e-18,0.243476
0.135135,0.286486,-1.46971e-18,0.241246
0.138138,0.286186,6.88003e-18,0.241246
0.147147,0.285285,-4.16334e-18,0.241127
0.15015,0.284985,2.91353e-19,0.243392
0.153153,0.284685,-2.77556e-18,0.243392
0.156156,0.284384,6.93889e-19,0.243392
0.159159,0.284084,-1.47036e-19,0.25065
0.168168,0.283183,-6.93889e-19,0.263226
0.171171,0.282883,-1.38778e-18,0.263226
0.174174,0.282583,-3.685e-18,0.269357
0.177177,0.282282,-6.93889e-19,0.269357
0.18018,0.281982,-9.96339e-18,0.273892
0.183183,0.281682,-6.8795e-18,0.273892
0.186186,0.281381,-4.85723e-18,0.273892
0.189189,0.281081,-4.38464e-18,0.283118
0.192192,0.280781,-1.38778e-18,0.283118
0.21021,0.278979,-4.43635e-27,0.320249
0.213213,0.278679,-2.21427e-18,0.331361
0.216216,0.278378,-2.46442e-18,0.331361
0.264264,0.273574,-2.08167e-18,0.426184
0.267267,0.273273,-6.48918e-27,0.426184
0.27027,0.272973,-1.74003e-18,0.438356
0.273273,0.272673,2.14451e-19,0.438356
0.276276,0.272372,6.93889e-19,0.438356
0.279279,0.272072,6.206e-18,0.44911
0.282282,0.271772,4.70991e-18,0.44911
0.285285,0.271471,7.63278e-18,0.44911
0.288288,0.271171,7.63278e-18,0.44911
0.291291,0.270871,8.55918e-18,0.463585
0.294294,0.270571,7.51521e-18,0.463585
