x,y,z,U_0,U_1,U_2
-1.63135,-3,6.13091e-18,3,3.44574e-16,0
-1.63135,-2.99399,2.57468e-18,3,3.44574e-16,0
-1.63135,-2.98799,5.39356e-18,3,3.44574e-16,0
-1.63135,-2.98198,6.52108e-18,3,3.44574e-16,0
-1.63135,-2.97598,6.08736e-18,3,3.44574e-16,0
-1.63135,-2.96997,6.95467e-18,3,3.44574e-16,0
-1.63135,-2.96396,6.26076e-18,3,3.44574e-16,0
-1.63135,-2.95796,6.58334e-18,3,3.44574e-16,0
-1.63135,-2.95195,5.8404e-18,3,3.44574e-16,0
-1.63135,-2.94595,7.43933e-18,3,3.44574e-16,0
-1.63135,-2.93994,6.2627e-18,3,3.44574e-16,0
-1.63135,-2.93393,7.16774e-18,3,3.44574e-16,0
-1.63135,-2.92793,1.82778e-18,3,3.44574e-16,0
-1.63135,-2.92192,4.82987e-18,3,-1.93662e-16,0
-1.63135,-2.91592,2.83489e-18,3,-1.93662e-16,0
-1.63135,-2.90991,3.65884e-18,3,-1.93662e-16,0
-1.63135,-2.9039,3.48532e-18,3,-1.93662e-16,0
-1.63135,-2.8979,4.65621e-18,3,-1.93662e-16,0
-1.63135,-2.89189,3.96228e-18,3,-1.93662e-16,0
-1.63135,-2.88589,3.74541e-18,3,-1.93662e-16,0
-1.63135,-2.87988,4.15585e-18,3,-1.93662e-16,0
-1.63135,-2.87387,3.07024e-18,3,-1.93662e-16,0
-1.63135,-2.86787,3.28568e-18,3,-1.93662e-16,0
-1.63135,-2.86186,3.84807e-18,3,-1.93662e-16,0
-1.63135,-2.85586,2.47117e-19,3,-1.93662e-16,0
-1.63135,-2.84985,-9.25221e-19,3,-1.93662e-16,0
-1.63135,-2.84384,5.39365e-18,3,-2.86211e-16,0
-1.63135,-2.83784,7.04159e-18,3,-2.86211e-16,0
-1.63135,-2.83183,5.95734e-18,3,-2.86211e-16,0
-1.63135,-2.82583,7.95223e-18,3,-2.86211e-16,0
-1.63135,-2.81982,7.21492e-18,3,-2.86211e-16,0
-1.63135,-2.81381,8.21234e-18,3,-2.86211e-16,0
-1.63135,-2.80781,8.48759e-18,3,-2.86211e-16,0
-1.63135,-2.8018,7.85678e-18,3,-2.86211e-16,0
-1.63135,-2.7958,8.16333e-18,3,-2.86211e-16,0
