x,y,z,U_0,U_1,U_2
-2.46817,-2.72516,8.65892e-18,3,2.40138e-16,0
-2.46817,-2.54642,1.00467e-17,3,1.45285e-16,0
-2.46817,-2.37476,9.00586e-18,3,-1.57661e-17,0
-2.46817,-2.20992,9.35281e-18,3,1.83669e-17,0
-2.46817,-2.05161,9.35281e-18,3,-1.62314e-16,0
-2.46817,-1.89959,7.96503e-18,3,-1.49988e-16,0
-2.46817,-1.75359,6.43317e-18,3,-6.56224e-17,0
-2.46817,-1.61339,4.78519e-18,3,-1.11123e-16,0
-2.46817,-1.47875,1.14227e-18,3,-1.07402e-16,0
-2.46817,-1.34946,2.26984e-18,3,2.44821e-17,0
-2.46817,-1.22529,4.69845e-18,3,1.37711e-17,0
-2.46817,-1.10605,7.04033e-18,3,-1.75963e-16,0
-2.46817,-0.991539,1.00761e-17,3,-1.46739e-16,0
-2.46817,-0.881573,1.077e-17,3,1.33651e-16,0
-2.46817,-0.775969,1.077e-17,3,4.35906e-17,0
-2.46817,-0.674554,1.2071e-17,3,6.76006e-17,0
-2.46817,-0.577164,1.29384e-17,3,-1.55722e-17,0
-2.46817,-0.483637,1.12037e-17,3,-1.15228e-16,0
-2.46817,-0.393821,1.12037e-17,3,-1.1306e-16,0
-2.46817,-0.307568,1.12037e-17,3,-7.97727e-17,0
-2.46817,-0.224738,7.56075e-18,3,1.63204e-16,0
-2.46817,-0.145193,8.94852e-18,3,1.98812e-16,0
-2.46817,-0.0688046,1.13771e-17,3,3.2856e-16,0
-2.46817,0.00455329,1.14492e-17,3,3.82466e-16,0
-2.46817,0.0750007,2.87699e-18,3,3.05711e-16,0
-2.46817,0.142653,5.56581e-18,3,-1.21864e-16,0
-2.46817,0.207622,6.2597e-18,3,-4.00746e-16,0
-2.46817,0.270013,4.95866e-18,3,-4.02675e-16,0
-2.46817,0.329928,3.65762e-18,3,-3.63439e-16,0
-2.46817,0.387466,4.35151e-18,3,-2.38093e-16,0
-2.46817,0.442722,5.73929e-18,3,-1.32337e-16,0
-2.46817,0.495785,6.43317e-18,3,-1.60862e-16,0
-2.46817,0.546744,5.13213e-18,3,1.3457e-16,0
-2.46817,0.59568,2.79026e-18,3,3.53317e-16,0
-2.46817,0.642675,2.44331e-18,3,4.95812e-16,0
-2.46817,0.687805,3.1372e-18,3,4.7839e-16,0
-2.46817,0.731145,3.83109e-18,3,2.61634e-16,0
-2.46817,0.772765,5.65255e-18,3,2.65446e-14,0
-2.46817,0.812735,6.08623e-18,3,-1.19604e-09,0
-2.46817,0.851118,5.39234e-18,3.0001,2.77731e-05,0
-2.46817,0.887978,4.69845e-18,2.49227,-0.177647,0
-2.46817,0.923377,5.3056e-18,1.08388,-0.638061,0
-2.46817,0.95737,4.16334e-18,1.03755,-0.685775,0
-2.46817,0.990015,2.53005e-18,1.0263,-0.678432,0
-2.46817,1.02137,1.83616e-18,1.01445,-0.66859,0
-2.46817,1.05147,-8.52664e-19,1.00556,-0.656986,0
-2.46817,1.08038,-8.52664e-19,0.991582,-0.646982,0
-2.46817,1.10815,-2.06697e-18,0.975928,-0.636547,0
-2.46817,1.13481,-3.97517e-18,0.95953,-0.625386,0
-2.46817,1.16042,-2.67412e-18,0.943691,-0.613554,0
-2.46817,1.18501,-3.97517e-18,0.928732,-0.604727,0
-2.46817,1.20862,-5.27621e-18,0.916246,-0.597734,0
-2.46817,1.2313,-3.28128e-18,0.905914,-0.591755,0
-2.46817,1.25307,-3.88843e-18,0.895193,-0.583459,0
-2.46817,1.27399,-6.23031e-18,0.877274,-0.573421,0
-2.46817,1.29407,-5.53642e-18,0.851153,-0.55506,0
-2.46817,1.31336,-3.1078e-18,0.811636,-0.535206,0
-2.46817,1.33188,-1.37308e-18,0.770632,-0.507943,0
-2.46817,1.34966,-9.394e-19,0.733464,-0.492831,0
-2.46817,1.36675,-8.52664e-19,0.714448,-0.484232,0
-2.46817,1.38315,-1.58774e-19,0.705472,-0.494475,0
-2.46817,1.3989,4.33681e-19,0.707576,-0.493217,0
-2.46817,1.44612,-3.46945e-18,2.28972,-1.07257,0
-2.46817,1.45582,-1.73472e-18,2.37271,-1.09171,0
-2.46817,1.46592,0,2.59748,-1.35236,0
-2.46817,1.47643,0,2.81655,-1.51337,0
-2.46817,1.48738,0,2.8846,-1.2307,0
-2.46817,1.49878,0,2.90085,-1.03523,0
-2.46817,1.51065,0,2.88637,-0.732422,0
-2.46817,1.52301,0,2.8459,-0.527692,0
