x,y,z,U_0,U_1,U_2
-2.46817,-2.72516,8.65892e-18,3,2.22149e-16,0
-2.46817,-2.54642,1.00467e-17,3,1.4632e-16,0
-2.46817,-2.37476,9.00586e-18,3,-1.36422e-17,0
-2.46817,-2.20992,9.35281e-18,3,1.82746e-17,0
-2.46817,-2.05161,9.35281e-18,3,-1.62314e-16,0
-2.46817,-1.89959,7.96503e-18,3,-1.49988e-16,0
-2.46817,-1.75359,6.43317e-18,3,-6.56224e-17,0
-2.46817,-1.61339,4.78519e-18,3,-1.11082e-16,0
-2.46817,-1.47875,1.14227e-18,3,-1.07529e-16,0
-2.46817,-1.34946,2.26984e-18,3,2.44646e-17,0
-2.46817,-1.22529,4.69845e-18,3,1.37711e-17,0
-2.46817,-1.10605,7.04033e-18,3,-1.75963e-16,0
-2.46817,-0.991539,1.00761e-17,3,-1.46036e-16,0
-2.46817,-0.881573,1.077e-17,3,1.31491e-16,0
-2.46817,-0.775969,1.077e-17,3,4.35865e-17,0
-2.46817,-0.674554,1.2071e-17,3,7.5867e-17,0
-2.46817,-0.577164,1.29384e-17,3,-2.97272e-17,0
-2.46817,-0.483637,1.12037e-17,3,-9.99671e-17,0
-2.46817,-0.393821,1.12037e-17,3,-9.1012e-17,0
-2.46817,-0.307568,1.12037e-17,3,-5.3519e-17,0
-2.46817,-0.224738,7.56075e-18,3,1.79041e-16,0
-2.46817,-0.145193,8.94852e-18,3,2.05597e-16,0
-2.46817,-0.0688046,1.13771e-17,3,3.31212e-16,0
-2.46817,0.00455329,1.14492e-17,3,3.82642e-16,0
-2.46817,0.0750007,2.87699e-18,3,3.05894e-16,0
-2.46817,0.142653,5.56581e-18,3,-1.18128e-16,0
-2.46817,0.207622,6.2597e-18,3,-3.96537e-16,0
-2.46817,0.270013,4.95866e-18,3,-4.05103e-16,0
-2.46817,0.329928,3.65762e-18,3,-3.66355e-16,0
-2.46817,0.387466,4.35151e-18,3,-2.3499e-16,0
-2.46817,0.442722,5.73929e-18,3,-1.97498e-16,0
-2.46817,0.495785,6.43317e-18,3,-3.20464e-16,0
-2.46817,0.546744,5.13213e-18,3,2.76099e-17,0
-2.46817,0.59568,2.79026e-18,3,3.12756e-16,0
-2.46817,0.642675,2.44331e-18,3,4.80503e-16,0
-2.46817,0.687805,3.1372e-18,3,4.73341e-16,0
-2.46817,0.731145,3.83109e-18,3,2.7367e-16,0
-2.46817,0.772765,5.65255e-18,3,8.55033e-18,0
-2.46817,0.812735,6.08623e-18,3,-4.2817e-16,0
-2.46817,0.851118,5.39234e-18,3,-5.38545e-16,0
-2.46817,0.887978,4.69845e-18,3,-2.88318e-16,0
-2.46817,0.923377,5.3056e-18,3,-3.42118e-16,0
-2.46817,0.95737,4.16334e-18,3,-2.70055e-16,0
-2.46817,0.990015,2.53005e-18,3,-3.02965e-16,0
-2.46817,1.02137,1.83616e-18,3,-9.22713e-17,0
-2.46817,1.05147,-8.52664e-19,3,-7.94182e-16,0
-2.46817,1.08038,-8.52664e-19,3,8.69049e-12,0
-2.46817,1.10815,-2.06697e-18,2.70206,-0.118114,0
-2.46817,1.13481,-3.97517e-18,1.33499,-0.688679,0
-2.46817,1.16042,-2.67412e-18,1.17827,-0.813874,0
-2.46817,1.18501,-3.97517e-18,1.17054,-0.808269,0
-2.46817,1.20862,-5.27621e-18,1.15558,-0.800414,0
-2.46817,1.2313,-3.28128e-18,1.14029,-0.789661,0
-2.46817,1.25307,-3.88843e-18,1.12595,-0.777525,0
-2.46817,1.27399,-6.23031e-18,1.11036,-0.767919,0
-2.46817,1.29407,-5.53642e-18,1.09098,-0.756147,0
-2.46817,1.31336,-3.1078e-18,1.06301,-0.742366,0
-2.46817,1.33188,-1.37308e-18,1.03008,-0.715174,0
-2.46817,1.34966,-9.394e-19,0.989556,-0.696313,0
-2.46817,1.36675,-8.52664e-19,0.969274,-0.675061,0
-2.46817,1.38315,-1.58774e-19,0.954668,-0.681723,0
-2.46817,1.3989,4.33681e-19,0.957612,-0.676933,0
-2.46817,1.44612,-3.46945e-18,2.45845,-1.10126,0
-2.46817,1.45582,-1.73472e-18,2.52676,-1.04239,0
-2.46817,1.46592,0,2.68847,-1.14023,0
